Transaction date,Transaction ID,Merchant name,Payment ref ID / Check No,Description,Debit amount,Credit amount,Balance
2024-06-01,TXN100000,Rent,,Monthly rent,227.67,0.0,9772.33
2024-06-01,TXN100001,Costco,,Online supplies,350.56,0.0,9421.77
2024-06-02,TXN100002,Payroll,REF-4918NL,Payroll,97.3,0.0,9324.47
2024-06-03,TXN100003,PepsiCo,,Beverage restock,0.0,414.17,9738.64
2024-06-03,TXN100004,Chase Bank,,Service fee,0.0,1327.62,11066.26
2024-06-03,TXN100005,Coca-Cola,,Beverage restock,0.0,882.09,11948.35
2024-06-04,TXN100006,Amazon,,Online supplies,0.0,549.59,12497.94
2024-06-04,TXN100007,Kitchen Depot,,Equipment purchase,34.23,0.0,12463.71
2024-06-05,TXN100008,Chase Bank,,Service fee,0.0,523.3,12987.01
2024-06-05,TXN100009,Utilities Co.,,Utilities,0.0,1407.67,14394.68
2024-06-05,TXN100010,Local Butcher,,Food inventory,0.0,507.86,14902.54
2024-06-06,TXN100011,Gordon Food Service,,Beverage restock,0.0,1444.5,16347.04
2024-06-06,TXN100012,Kitchen Depot,,Equipment purchase,0.0,872.01,17219.05
2024-06-06,TXN100013,Local Butcher,,Food inventory,0.0,1095.45,18314.5
2024-06-07,TXN100014,Walmart,REF-0538Ei,Online supplies,384.03,0.0,17930.47
2024-06-07,TXN100015,Gordon Food Service,,Beverage restock,0.0,815.28,18745.75
2024-06-08,TXN100016,Stripe,,Customer payment,0.0,814.36,19560.11
2024-06-08,TXN100017,Sysco,,Food inventory,299.45,0.0,19260.66
2024-06-08,TXN100018,US Foods,,Food inventory,0.0,926.63,20187.29
2024-06-08,TXN100019,Local Farm Co-op,,Food inventory,0.0,838.34,21025.63
2024-06-09,TXN100020,US Foods,,Beverage restock,0.0,339.53,21365.16
2024-06-10,TXN100021,Sysco,,Beverage restock,438.27,0.0,20926.89
2024-06-10,TXN100022,Rent,,Monthly rent,0.0,560.7,21487.59
2024-06-10,TXN100023,Sysco,,Food inventory,0.0,1013.73,22501.32
2024-06-11,TXN100024,Local Farm Co-op,,Food inventory,215.78,0.0,22285.54
2024-06-11,TXN100025,Utilities Co.,,Utilities,0.0,505.79,22791.33
2024-06-12,TXN100026,Local Farm Co-op,,Food inventory,0.0,1555.48,24346.81
2024-06-12,TXN100027,Sysco,,Food inventory,0.0,1091.66,25438.47
2024-06-12,TXN100028,Stripe,,Customer payment,0.0,1123.05,26561.52
2024-06-12,TXN100029,Chase Bank,,Service fee,257.14,0.0,26304.38
2024-06-12,TXN100030,Walmart,,Food inventory,0.0,1046.67,27351.05
